时间,错误量
1557162229783,0
1557162239281,0
1557162249284,0
1557162259287,0
1557163169106,0
1557163179108,0
1557170387507,0
1557170397281,0
1557170407291,0
1557177600190,0
1557177610164,0
1557177620167,0
1557177630171,0
1557177640173,0
1557177650176,0
1557177660178,0
1557180214278,0
1557180224281,0
1557180234284,0
1557190404307,0
1557190414287,0
1557190424290,0
1557190434290,0
1557190444295,0
1557190454296,0
1557190464309,0
1557190474315,0
1557190484320,0
1557190494321,0
1557190504327,0
1557190514328,0
1557190524333,0
1557190534337,0
1557190544343,0
1557190554343,0
1557190564350,0
1557190574354,0
1557190584355,0
1557190594360,0
1557190604363,0
1557190614372,0
1557190624378,0
1557190634385,0
1557190644390,0
1557190654395,0
1557190664401,0
1557190674405,0
1557190684411,0
1557190694417,0
1557190704423,0
1557190714429,0
1557190724434,0
1557190734435,0
1557190744438,0
1557190754440,0
1557190764442,0
1557190774448,0
1557190784454,0
1557190794456,0
1557190804462,0
1557190814467,0
1557190824472,0
1557190834474,0
1557190844480,0
1557190854485,0
1557190864491,0
1557190874492,0
1557190884497,0
1557190894508,0
1557190904515,0
1557190914518,0
1557190924524,0
1557190934529,0
1557190944530,0
1557190954534,0
1557190964534,0
1557190974539,0
1557190984540,0
1557190994543,0
1557191004549,0
1557191014555,0
1557191024560,0
1557191034566,0
1557191044572,0
1557191054577,0
1557191064583,0
1557191074589,0
1557191084594,0
1557191094600,0
1557191104605,0
1557191114611,0
1557191124617,0
1557191134622,0
1557191144626,0
1557191154627,0
1557191164631,0
1557191174632,0
1557191184633,0
1557191194634,0
1557191204637,0
1557191214643,0
1557191224646,0
1557191234666,0
1557191244678,0
1557191254679,0
1557191264680,0
1557191274685,0
1557191284692,0
1557191294697,0
1557191304702,0
1557191314708,0
1557191324714,0
1557191334717,0
1557191344719,0
1557191354723,0
1557191364728,0
1557191374731,0
1557191384737,0
1557191394744,0
1557191404748,0
1557191414753,0
1557191424755,0
1557191434757,0
1557191444759,0
1557191454761,0
1557191464764,0
1557191474765,0
1557191484768,0
1557191494773,0
1557191504775,0
1557191514777,0
1557191524779,0
1557191534779,0
1557191544781,0
1557191554785,0
1557191564787,0
1557191574788,0
1557191584789,0
1557191594795,0
1557191604796,0
1557191614796,0
1557191624801,0
1557191634803,0
1557191644804,0
1557191654804,0
1557191664805,0
1557191674806,0
1557191684814,0
1557191694818,0
1557191704819,0
1557191714822,0
1557191724826,0
1557191734832,0
1557191744835,0
1557191754837,0
1557191764844,0
1557191774848,0
1557191784852,0
1557191794853,0
1557191804859,0
1557191814864,0
1557191824868,0
1557191834871,0
1557191844872,0
1557191854873,0
1557191864879,0
1557191874884,0
1557191884887,0
1557191894891,0
1557191904896,0
1557191914898,0
1557191924903,0
1557191934903,0
1557191944904,0
1557191954904,0
1557191964907,0
1557191974912,0
1557191984918,0
1557191994919,0
1557192004920,0
1557192014922,0
1557192024928,0
1557192034934,0
1557192044935,0
1557192054936,0
1557192064939,0
1557192074944,0
1557192084950,0
1557192094951,0
1557192104956,0
1557192114961,0
1557192124967,0
1557192134971,0
1557192144973,0
1557192154974,0
1557192164981,0
1557192174987,0
1557192184990,0
1557192194993,0
1557192204999,0
1557192215004,0
1557192225008,0
1557192235013,0
1557192245016,0
1557192255019,0
1557192265025,0
1557192275026,0
1557192285031,0
1557192295032,0
1557192305038,0
1557192315042,0
1557192325044,0
1557192335050,0
1557192345053,0
1557192355056,0
1557192365059,0
1557192375059,0
1557192385060,0
1557192395066,0
1557192405066,0
1557192415071,0
1557192425075,0
1557192435077,0
1557192445078,0
1557192455078,0
1557192465083,0
1557192475088,0
1557192485091,0
1557192495094,0
1557192505099,0
1557192515101,0
1557192525104,0
1557192535107,0
1557192545109,0
1557192555110,0
1557192565115,0
1557192575119,0
1557192585126,0
1557192595127,0
1557192605128,0
1557192615131,0
1557192625132,0
1557192635135,0
1557192645141,0
1557192655145,0
1557192665149,0
1557192675150,0
1557192685155,0
1557192695158,0
1557192705162,0
1557192715165,0
1557192725169,0
1557192735173,0
1557192745175,0
1557192755180,0
1557192765181,0
1557192775182,0
1557192785185,0
1557192795189,0
1557192805195,0
1557192815198,0
1557192825199,0
1557192835199,0
1557192845206,0
1557192855211,0
1557192865215,0
1557192875216,0
1557192885217,0
1557192895218,0
1557192905219,0
1557192915223,0
1557192925223,0
1557192935225,0
1557192945229,0
1557192955231,0
1557192965232,0
1557192975234,0
1557192985239,0
1557192995242,0
1557193005246,0
1557193015250,0
1557193025250,0
1557193035254,0
1557193045259,0
1557193060412,0
1557193070413,0
1557193080415,0
1557193090417,0
1557193100418,0
1557193110418,0
1557193120424,0
1557193130432,0
1557193140431,0
1557193150434,0
1557193160435,0
1557193170437,0
1557193180444,0
1557193190444,0
1557193200446,0
1557193210452,0
1557193220452,0
1557193230456,0
1557193240457,0
1557193250463,0
1557193260466,0
1557193270467,0
1557193280470,0
1557193290473,0
1557193300479,0
1557193310480,0
1557193320485,0
1557193330486,0
1557193340487,0
1557193350489,0
1557193360489,0
1557193370489,0
1557193380491,0
1557193390496,0
1557193400497,0
1557193410499,0
